Designator,Footprint,Quantity,Value,URL
"C1, C2",0402,2,15p,https://au.mouser.com/ProductDetail/581-04025A150G
"C10, C8",0402,2,1u,https://au.mouser.com/ProductDetail/963-MAASL105CD7105MF
"C11, C12, C13, C14, C15, C16, C5, C6, C7, C9",0402,10,100n,https://au.mouser.com/ProductDetail/603-CC402KRX7R9BB104
"C23, C24",0805,2,10uF,https://au.mouser.com/ProductDetail/81-GRM21BR61C106KE15
C25,0805,1,100nF,https://au.mouser.com/ProductDetail/581-KAF21KR72A104KL
"C3, C4",0805,2,10u,https://au.mouser.com/ProductDetail/81-GRM21BR71A106KA3K
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D61, D63, D67, D7, D71, D72, D8, D9",Diode_DO-35,61,Diode,https://au.mouser.com/ProductDetail/512-1N4148
D34,1206,1,SD1206T020S1R0,https://au.mouser.com/ProductDetail/581-SD1206T020S1R0
"J1, J2, J4, J5",USB_C_Receptacle_HRO_TYPE-C-31-M-12,4,USB_C_Receptacle_USB2.0,https://www.aliexpress.com/item/1005003285152827.html?mp=1
"R1, R2",0805,2,5.1K,https://au.mouser.com/ProductDetail/667-ERA-2AEB512X
"R14, R15, R16, R17, R18, R19",0805,6,56K,https://au.mouser.com/ProductDetail/667-ERA-6ARB563V
"R3, R5",0402,2,1k,https://au.mouser.com/ProductDetail/667-ERA-2AEB512X
R4,0402,1,DNF,
"R6, R7",0402,2,27,https://www.aliexpress.com/item/1005005433144951.html?mp=1
S1,MX_PCB_1.00u,1,esc,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S10,MX_PCB_1.00u,1,3,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S11,MX_PCB_1.00u,1,e,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S12,MX_PCB_1.00u,1,d,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S13,MX_PCB_1.00u,1,4,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S14,MX_PCB_1.00u,1,r,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S15,MX_PCB_1.00u,1,f,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S16,MX_PCB_1.00u,1,5,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S17,MX_PCB_1.00u,1,t,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S18,MX_PCB_1.00u,1,g,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S19,MX_PCB_1.00u,1,6,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S2,MX_PCB_1.00u,1,1,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S20,MX_PCB_1.00u,1,y,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S21,MX_PCB_1.00u,1,h,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S22,MX_PCB_1.00u,1,7,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S23,MX_PCB_1.00u,1,u,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S24,MX_PCB_1.00u,1,j,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S25,MX_PCB_1.00u,1,8,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S26,MX_PCB_1.00u,1,i,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S27,MX_PCB_1.00u,1,k,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S28,MX_PCB_1.00u,1,9,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S29,MX_PCB_1.00u,1,o,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S3,MX_PCB_1.00u,1,2,https://www.aliexpress.com/item/1005003944834891.html?mp=1
S30,MX_PCB_1.00u,1,l,https://www.aliexpress.com/item/1005003944834891.html?mp=1
